,background,Clothes,Face,Eye,Tattoo,JEWELRY1,JEWELRY2,JEWELRY3
0,blue,7,1,3,none,none,2,2
1,white,1,1,4,3,2,none,none
2,blue,2,1,4,2,none,1,3
3,white,4,1,1,3,1,3,4
4,blue,8,1,4,3,none,none,1
5,white,6,1,3,2,1,none,1
6,white,6,1,3,1,2,3,4
7,blue,8,1,3,3,2,1,none
8,white,6,1,1,2,2,3,none
9,white,5,1,1,5,none,3,4
10,white,2,1,2,4,4,none,1
11,blue,5,1,3,4,4,3,2
12,blue,3,1,1,1,1,2,2
13,blue,7,1,4,2,none,none,3
14,white,1,1,4,none,2,3,3
15,white,5,1,4,5,2,none,2
16,white,8,1,2,2,none,none,2
17,blue,7,1,4,1,2,2,none
18,white,4,1,2,none,2,2,3
19,blue,5,1,2,4,3,none,2
20,blue,3,1,4,1,1,3,1
21,blue,4,1,4,2,2,3,4
22,blue,7,1,2,3,2,2,none
23,blue,2,1,2,1,1,1,none
24,blue,2,1,2,none,3,3,2
25,white,6,1,4,2,2,none,3
26,white,8,1,2,none,4,2,4
27,white,1,1,3,1,3,3,4
28,white,6,1,1,3,2,none,2
29,blue,8,1,1,4,2,1,3
30,blue,2,1,1,5,none,none,4
31,white,4,1,4,4,2,none,3
32,white,7,1,4,4,2,3,2
33,blue,2,1,2,2,4,3,3
34,blue,5,1,1,1,4,none,3
35,blue,8,1,1,1,3,3,1
36,white,3,1,1,3,3,none,1
37,white,6,1,4,1,none,3,3
38,white,7,1,4,2,4,1,none
39,white,4,1,2,4,1,1,3
40,white,5,1,4,1,3,3,1
41,white,3,1,3,3,none,2,2
42,blue,1,1,1,none,4,3,none
43,blue,2,1,4,3,4,2,3
44,white,4,1,4,5,none,2,2
45,blue,1,1,4,none,2,3,1
46,blue,7,1,3,4,3,2,4
47,blue,7,1,3,2,none,2,1
48,blue,5,1,1,5,2,1,2
49,blue,1,1,1,2,4,1,4
50,white,7,1,4,3,none,1,2
51,blue,2,1,4,4,2,1,3
52,blue,6,1,1,2,2,1,3
53,blue,5,1,4,2,1,3,2
54,blue,7,1,1,3,3,1,4
55,white,2,1,1,1,4,1,2
56,white,1,1,1,1,4,2,4
57,blue,5,1,1,3,4,none,4
58,blue,3,1,1,5,4,2,none
59,white,4,1,3,none,2,2,4
60,blue,6,1,4,none,2,2,2
61,blue,2,1,4,4,2,2,1
62,white,4,1,4,5,4,1,2
63,white,5,1,4,1,1,3,1
64,blue,4,1,4,none,none,1,1
65,white,4,1,4,2,3,none,4
66,blue,8,1,3,4,none,2,3
67,white,2,1,4,3,3,2,3
68,blue,1,1,4,2,3,none,none
69,blue,4,1,2,2,4,none,none
70,white,4,1,1,none,none,3,none
71,blue,2,1,1,1,1,3,2
72,blue,2,1,1,3,3,1,3
73,white,7,1,2,none,1,2,none
74,white,3,1,2,none,2,3,none
75,blue,7,1,2,none,1,3,2
76,white,4,1,2,none,2,3,4
77,white,8,1,3,3,2,3,1
78,white,8,1,4,1,1,none,1
79,blue,8,1,1,5,4,2,3
80,blue,5,1,3,3,none,3,2
81,white,8,1,1,5,3,2,2
82,blue,4,1,3,3,4,3,4
83,white,4,1,4,none,4,3,4
84,blue,1,1,3,2,2,1,3
85,blue,1,1,3,3,1,2,none
86,white,8,1,3,none,2,none,4
87,blue,7,1,1,1,1,2,1
88,white,2,1,3,2,3,1,3
89,blue,5,1,1,2,none,none,4
90,white,4,1,2,1,none,none,3
91,blue,5,1,4,2,4,1,4
92,white,3,1,4,2,4,1,2
93,white,1,1,2,2,none,none,none
94,blue,1,1,1,1,4,2,2
95,white,7,1,1,none,3,2,4
96,blue,1,1,2,2,3,1,4
97,white,6,1,3,none,1,2,3
98,blue,8,1,4,5,none,2,1
99,white,4,1,4,2,4,none,3
