,background,Clothes,Face,Eye,Tattoo,JEWELRY1,JEWELRY2,JEWELRY3
0,blue,7,1,4,1,4,none,3
1,white,8,1,4,2,1,2,3
2,blue,5,1,1,2,2,2,2
3,white,5,1,4,1,1,none,none
4,blue,2,1,3,5,3,none,1
5,blue,8,1,2,4,4,1,1
6,blue,4,1,2,1,2,3,none
7,white,1,1,2,none,4,1,1
8,white,7,1,3,2,4,1,1
9,blue,4,1,1,4,4,none,2
10,white,8,1,4,2,3,none,4
11,blue,3,1,3,2,2,2,1
12,white,5,1,1,3,none,none,2
13,white,4,1,4,none,3,3,2
14,white,4,1,4,4,2,2,1
15,blue,3,1,4,2,1,2,none
16,white,1,1,3,2,4,2,none
17,white,8,1,3,2,1,3,4
18,white,8,1,3,3,4,2,none
19,blue,4,1,2,1,4,1,none
