,background,Clothes,Face,Eye,Tattoo,JEWELRY1,JEWELRY2,JEWELRY3
0,God Hestia,Basketball clothes,panda,white-eyes,Tattoo4,Lollipop,Hat,Rimmed-glasses
1,Apollo the god of light,Football uniform,panda,Boring,Tattoo1,Lollipop,Kill-Matt,Scarf
2,God Hestia,White shirt,panda,white-eyes,Tattoo3,Lollipop,Horns,none
3,Ares,Red-and-black-shirt,panda,Boring,Tattoo1,Cigar,Hat,Sunglasses
4,Poseidon,White shirt,panda,Happy,Tattoo4,Cigar,Hat,Scarf
5,Ares,Red-and-black-shirt,panda,Happy,Tattoo5,Cigar,Kill-Matt,Rimmed-glasses
6,"Demeter, goddess of agriculture",Red-and-black-shirt,panda,Boring,none,Lollipop,none,none
7,Ares,Basketball clothes,panda,Boring,Tattoo5,Cigarette,Hat,Scarf
8,Ares,Dancing unifom,panda,Happy,Tattoo3,Cigar,Kill-Matt,Rimmed-glasses
9,Poseidon,White shirt,panda,Boring,Tattoo4,Lollipop,Kill-Matt,Sunglasses
